# L TxT TxW1 TxW2 TxW3 W1xW1 W1xW2 W1xW3 W2xW2 W2xW3 W3xW3
6.500000000000000000e+01 3.466797027897270201e-13 2.156631003811271712e-11 2.124387809100515912e-11 1.563005501455367226e-11 4.360542250904764765e-06 7.550921786629895026e-07 1.761488475624902500e-09 3.584879859407380570e-06 5.165779670982191558e-07 1.691380063678782782e-06
6.600000000000000000e+01 3.407941623433826957e-13 2.062332540048536691e-11 2.036146595708022273e-11 1.506980975799035897e-11 4.298196597869446317e-06 7.442765845981481855e-07 1.738196715160413070e-09 3.540669875238221587e-06 5.117663545283703035e-07 1.679917844156262688e-06
6.700000000000000000e+01 3.351492054209808361e-13 1.973447460459720878e-11 1.952371904055018588e-11 1.453323315558128735e-11 4.237645155301928592e-06 7.337013701817709994e-07 1.715519032802398691e-09 3.496834271603682540e-06 5.069114378214047502e-07 1.668201412448156248e-06
6.800000000000000000e+01 3.297246728114675126e-13 1.889596081366857988e-11 1.872804869658898585e-11 1.401889517810937517e-11 4.178806131348245761e-06 7.233736819637101049e-07 1.693686963524579443e-09 3.453430182161258820e-06 5.020221770454922343e-07 1.656254599908516400e-06
6.900000000000000000e+01 3.245008106240592780e-13 1.810428662110644416e-11 1.797205115600929933e-11 1.352547042415836389e-11 4.121602624129125776e-06 7.132992525287441719e-07 1.672904055500927606e-09 3.410507280869613090e-06 4.971066158489291748e-07 1.644099145891142857e-06
7.000000000000000000e+01 3.194620869916544757e-13 1.735622715625993185e-11 1.725349190352201682e-11 1.305172913844758514e-11 4.065962262153430086e-06 7.034825708878383381e-07 1.653348880178175798e-09 3.368108602736269903e-06 4.921719744767491127e-07 1.631754896496689171e-06
7.100000000000000000e+01 3.145955531374167970e-13 1.664880178793449330e-11 1.657029340004859566e-11 1.259661594754747914e-11 4.011811738081832998e-06 6.939263047932111573e-07 1.635136602962315498e-09 3.326270630228491586e-06 4.872246882839058067e-07 1.619239850203844221e-06
7.200000000000000000e+01 3.099111606336439594e-13 1.597924089517920814e-11 1.592052740796233953e-11 1.215948401765925846e-11 3.959062220951743679e-06 6.846294090512735880e-07 1.618207061877263314e-09 3.285022155867946084e-06 4.822703582916050333e-07 1.606569949516531854e-06
7.300000000000000000e+01 3.054174966544701289e-13 1.534498010514173971e-11 1.530239732479588831e-11 1.173979723536667953e-11 3.907626311560148728e-06 6.755896840803241295e-07 1.602464720391822843e-09 3.244387007025636933e-06 4.773139660981552541e-07 1.593759667665158888e-06
7.400000000000000000e+01 3.011059891132018431e-13 1.474364670893760635e-11 1.471422589916727798e-11 1.133703779428236834e-11 3.857422904081490267e-06 6.668046041199462053e-07 1.587821459054598831e-09 3.204385194895739935e-06 4.723599771612154617e-07 1.580822268889199794e-06
7.500000000000000000e+01 2.969674644011129734e-13 1.417304344050656638e-11 1.415444583055807306e-11 1.095070566732795578e-11 3.808376664655553402e-06 6.582713678670915477e-07 1.574195934778342675e-09 3.165033333019316037e-06 4.674123912317457451e-07 1.567769916731687576e-06
7.600000000000000000e+01 2.929865771335430448e-13 1.363114870030758981e-11 1.362157802612142050e-11 1.058025853060383558e-11 3.760418963143922646e-06 6.499873202511505413e-07 1.561424743476714346e-09 3.126348219686214568e-06 4.624754880807877133e-07 1.554615685698904617e-06
7.700000000000000000e+01 2.891375433508779466e-13 1.311614490303727785e-11 1.311418693792997007e-11 1.022494482049754789e-11 3.713491369043907254e-06 6.419510460615568856e-07 1.549015225263275273e-09 3.088356140656143143e-06 4.575558259152239947e-07 1.541378998864683440e-06
7.800000000000000000e+01 2.854118844364599839e-13 1.262635676497004298e-11 1.263091744830726434e-11 9.884001604757306751e-12 3.667540582556261013e-06 6.341611464992752958e-07 1.536439127776981440e-09 3.051082469473102773e-06 4.526599432812326036e-07 1.528079328562259206e-06
7.900000000000000000e+01 2.818096726797019897e-13 1.216022547200044599e-11 1.217050157783261659e-11 9.556713510002161317e-12 3.622516677961510593e-06 6.266158921893016029e-07 1.523220337171840021e-09 3.014548726438779202e-06 4.477936921343260984e-07 1.514734356453190563e-06
8.000000000000000000e+01 2.783278358762569281e-13 1.171629947130654301e-11 1.173175190999374035e-11 9.242409204985637209e-12 3.578372851572453452e-06 6.193132683097905489e-07 1.508930071671720625e-09 2.978772976008058228e-06 4.429623024229320506e-07 1.501360134498145319e-06
8.100000000000000000e+01 2.749637320106567977e-13 1.129323657816822664e-11 1.131355113727472035e-11 8.940460583636429988e-12 3.535064837806134459e-06 6.122502808345687546e-07 1.493243248951245109e-09 2.943769086892903562e-06 4.381704873156652824e-07 1.487971767698080675e-06
8.200000000000000000e+01 2.717133718260025119e-13 1.088982578697919514e-11 1.091483408340168053e-11 8.650286556306413193e-12 3.492549705903454882e-06 6.054209321478761470e-07 1.476104981671567570e-09 2.909543974137020611e-06 4.334226276796102409e-07 1.474585053896630669e-06
8.300000000000000000e+01 2.685687741028018962e-13 1.050494551400303303e-11 1.053459741257522384e-11 8.371342395329659425e-12 3.450786838380469799e-06 5.988186843360946287e-07 1.457525846166127412e-09 2.876101521065131954e-06 4.287226638112709139e-07 1.461214822537028697e-06
8.400000000000000000e+01 2.655251576231381551e-13 1.013754670758280412e-11 1.017189947485464805e-11 8.103114852292802249e-12 3.409738108000692771e-06 5.924372221484200356e-07 1.437517862751366287e-09 2.843443936644741455e-06 4.240740912809740390e-07 1.447874504572054911e-06
