#    L    TxT            TxE            TxP            TxW1           ExT            ExE            ExP            ExW1           PxT            PxE            PxP            PxW1           W1xT           W1xE           W1xP           W1xW1       
    45   0.178118E-09   0.176815E-12   0.316215E-09   0.117575E-07   0.176815E-12   0.113318E-13  -0.472426E-12   0.916758E-12   0.316215E-09  -0.472426E-12   0.136517E-06   0.462420E-05   0.117575E-07   0.916758E-12   0.462420E-05   0.398930E-03
    46   0.180729E-09   0.160133E-12   0.309656E-09   0.116745E-07   0.160133E-12   0.121768E-13  -0.458761E-12   0.935335E-12   0.309656E-09  -0.458761E-12   0.136080E-06   0.469090E-05   0.116745E-07   0.935335E-12   0.469090E-05   0.413913E-03
    47   0.183375E-09   0.141711E-12   0.303260E-09   0.115849E-07   0.141711E-12   0.130614E-13  -0.424914E-12   0.962509E-12   0.303260E-09  -0.424914E-12   0.135623E-06   0.475469E-05   0.115849E-07   0.962509E-12   0.475469E-05   0.428890E-03
    48   0.186046E-09   0.121488E-12   0.297112E-09   0.114914E-07   0.121488E-12   0.139851E-13  -0.387410E-12   0.988495E-12   0.297112E-09  -0.387410E-12   0.135147E-06   0.481562E-05   0.114914E-07   0.988495E-12   0.481562E-05   0.443844E-03
    49   0.188735E-09   0.994166E-13   0.291286E-09   0.113971E-07   0.994166E-13   0.149470E-13  -0.362818E-12   0.100373E-11   0.291286E-09  -0.362818E-12   0.134651E-06   0.487375E-05   0.113971E-07   0.100373E-11   0.487375E-05   0.458758E-03
    50   0.191445E-09   0.755128E-13   0.285692E-09   0.113013E-07   0.755128E-13   0.159482E-13  -0.359208E-12   0.100997E-11   0.285692E-09  -0.359208E-12   0.134136E-06   0.492914E-05   0.113013E-07   0.100997E-11   0.492914E-05   0.473620E-03
    51   0.194179E-09   0.498272E-13   0.280223E-09   0.112023E-07   0.498272E-13   0.169893E-13  -0.379868E-12   0.101117E-11   0.280223E-09  -0.379868E-12   0.133606E-06   0.498182E-05   0.112023E-07   0.101117E-11   0.498182E-05   0.488420E-03
    52   0.196933E-09   0.224874E-13   0.274886E-09   0.111006E-07   0.224874E-13   0.180705E-13  -0.417463E-12   0.100859E-11   0.274886E-09  -0.417463E-12   0.133059E-06   0.503184E-05   0.111006E-07   0.100859E-11   0.503184E-05   0.503146E-03
    53   0.199701E-09  -0.639383E-14   0.269706E-09   0.109970E-07  -0.639383E-14   0.191910E-13  -0.461691E-12   0.100054E-11   0.269706E-09  -0.461691E-12   0.132498E-06   0.507927E-05   0.109970E-07   0.100054E-11   0.507927E-05   0.517790E-03
    54   0.202482E-09  -0.368437E-13   0.264692E-09   0.108920E-07  -0.368437E-13   0.203509E-13  -0.501013E-12   0.976273E-12   0.264692E-09  -0.501013E-12   0.131923E-06   0.512424E-05   0.108920E-07   0.976273E-12   0.512424E-05   0.532344E-03
    55   0.205280E-09  -0.689412E-13   0.259834E-09   0.107859E-07  -0.689412E-13   0.215502E-13  -0.525278E-12   0.926534E-12   0.259834E-09  -0.525278E-12   0.131337E-06   0.516691E-05   0.107859E-07   0.926534E-12   0.516691E-05   0.546801E-03
    56   0.208112E-09  -0.102836E-12   0.255079E-09   0.106788E-07  -0.102836E-12   0.227882E-13  -0.531120E-12   0.857268E-12   0.255079E-09  -0.531120E-12   0.130740E-06   0.520726E-05   0.106788E-07   0.857268E-12   0.520726E-05   0.561154E-03
    57   0.210993E-09  -0.138670E-12   0.250390E-09   0.105705E-07  -0.138670E-12   0.240645E-13  -0.518103E-12   0.777458E-12   0.250390E-09  -0.518103E-12   0.130132E-06   0.524529E-05   0.105705E-07   0.777458E-12   0.524529E-05   0.575395E-03
    58   0.213916E-09  -0.176502E-12   0.245849E-09   0.104614E-07  -0.176502E-12   0.253796E-13  -0.490739E-12   0.693069E-12   0.245849E-09  -0.490739E-12   0.129513E-06   0.528110E-05   0.104614E-07   0.693069E-12   0.528110E-05   0.589516E-03
    59   0.216868E-09  -0.216337E-12   0.241534E-09   0.103518E-07  -0.216337E-12   0.267339E-13  -0.456006E-12   0.610914E-12   0.241534E-09  -0.456006E-12   0.128884E-06   0.531480E-05   0.103518E-07   0.610914E-12   0.531480E-05   0.603511E-03
