#    L    TT             EE             TE             PP             TP          
   181   0.709649E-09   0.107855E-12  -0.472324E-11   0.388563E-06   0.385458E-09
   182   0.712676E-09   0.106427E-12  -0.461626E-11   0.386489E-06   0.382315E-09
   183   0.715638E-09   0.105027E-12  -0.450563E-11   0.384433E-06   0.379207E-09
   184   0.718534E-09   0.103658E-12  -0.439140E-11   0.382394E-06   0.376132E-09
   185   0.721365E-09   0.102327E-12  -0.427354E-11   0.380372E-06   0.373091E-09
   186   0.724127E-09   0.101037E-12  -0.415211E-11   0.378368E-06   0.370083E-09
   187   0.726822E-09   0.997904E-13  -0.402712E-11   0.376380E-06   0.367106E-09
   188   0.729447E-09   0.985939E-13  -0.389861E-11   0.374408E-06   0.364160E-09
   189   0.732002E-09   0.974513E-13  -0.376660E-11   0.372452E-06   0.361243E-09
   190   0.734487E-09   0.963673E-13  -0.363114E-11   0.370513E-06   0.358356E-09
   191   0.736899E-09   0.953462E-13  -0.349225E-11   0.368589E-06   0.355497E-09
   192   0.739239E-09   0.943927E-13  -0.334995E-11   0.366681E-06   0.352665E-09
   193   0.741504E-09   0.935112E-13  -0.320429E-11   0.364787E-06   0.349859E-09
   194   0.743695E-09   0.927066E-13  -0.305532E-11   0.362909E-06   0.347080E-09
   195   0.745812E-09   0.919836E-13  -0.290308E-11   0.361045E-06   0.344325E-09
   196   0.747853E-09   0.913470E-13  -0.274761E-11   0.359196E-06   0.341594E-09
   197   0.749819E-09   0.908019E-13  -0.258898E-11   0.357361E-06   0.338886E-09
   198   0.751711E-09   0.903530E-13  -0.242722E-11   0.355540E-06   0.336201E-09
   199   0.753524E-09   0.900052E-13  -0.226238E-11   0.353732E-06   0.333536E-09
   200   0.755262E-09   0.897632E-13  -0.209452E-11   0.351938E-06   0.330893E-09
   201   0.756921E-09   0.896320E-13  -0.192368E-11   0.350158E-06   0.328270E-09
   202   0.758502E-09   0.896167E-13  -0.174993E-11   0.348390E-06   0.325667E-09
   203   0.760002E-09   0.897220E-13  -0.157332E-11   0.346637E-06   0.323084E-09
   204   0.761420E-09   0.899529E-13  -0.139390E-11   0.344896E-06   0.320521E-09
   205   0.762754E-09   0.903144E-13  -0.121173E-11   0.343168E-06   0.317977E-09
   206   0.764004E-09   0.908114E-13  -0.102687E-11   0.341454E-06   0.315452E-09
   207   0.765168E-09   0.914488E-13  -0.839368E-12   0.339753E-06   0.312946E-09
   208   0.766245E-09   0.922317E-13  -0.649302E-12   0.338065E-06   0.310458E-09
   209   0.767240E-09   0.931647E-13  -0.456746E-12   0.336390E-06   0.307989E-09
   210   0.768150E-09   0.942531E-13  -0.261773E-12   0.334727E-06   0.305538E-09
   211   0.768976E-09   0.955017E-13  -0.644579E-13   0.333078E-06   0.303105E-09
   212   0.769721E-09   0.969153E-13   0.135124E-12   0.331442E-06   0.300689E-09
   213   0.770384E-09   0.984990E-13   0.336899E-12   0.329819E-06   0.298291E-09
   214   0.770966E-09   0.100258E-12   0.540792E-12   0.328208E-06   0.295910E-09
   215   0.771468E-09   0.102196E-12   0.746724E-12   0.326610E-06   0.293546E-09
   216   0.771887E-09   0.104319E-12   0.954616E-12   0.325025E-06   0.291198E-09
   217   0.772224E-09   0.106631E-12   0.116438E-11   0.323453E-06   0.288867E-09
   218   0.772478E-09   0.109136E-12   0.137596E-11   0.321893E-06   0.286551E-09
   219   0.772648E-09   0.111841E-12   0.158925E-11   0.320345E-06   0.284252E-09
   220   0.772733E-09   0.114748E-12   0.180419E-11   0.318810E-06   0.281969E-09
   221   0.772734E-09   0.117863E-12   0.202067E-11   0.317286E-06   0.279702E-09
   222   0.772650E-09   0.121191E-12   0.223863E-11   0.315774E-06   0.277451E-09
   223   0.772480E-09   0.124735E-12   0.245797E-11   0.314274E-06   0.275215E-09
   224   0.772226E-09   0.128500E-12   0.267861E-11   0.312785E-06   0.272995E-09
   225   0.771888E-09   0.132489E-12   0.290045E-11   0.311308E-06   0.270791E-09
   226   0.771465E-09   0.136708E-12   0.312340E-11   0.309841E-06   0.268601E-09
   227   0.770957E-09   0.141161E-12   0.334738E-11   0.308386E-06   0.266427E-09
   228   0.770365E-09   0.145851E-12   0.357229E-11   0.306940E-06   0.264268E-09
   229   0.769689E-09   0.150783E-12   0.379805E-11   0.305506E-06   0.262125E-09
   230   0.768929E-09   0.155961E-12   0.402455E-11   0.304082E-06   0.259996E-09
   231   0.768085E-09   0.161386E-12   0.425170E-11   0.302667E-06   0.257882E-09
   232   0.767159E-09   0.167065E-12   0.447941E-11   0.301263E-06   0.255782E-09
   233   0.766148E-09   0.173001E-12   0.470758E-11   0.299869E-06   0.253697E-09
   234   0.765054E-09   0.179196E-12   0.493611E-11   0.298484E-06   0.251627E-09
   235   0.763878E-09   0.185656E-12   0.516492E-11   0.297108E-06   0.249572E-09
   236   0.762619E-09   0.192383E-12   0.539390E-11   0.295742E-06   0.247531E-09
   237   0.761279E-09   0.199380E-12   0.562296E-11   0.294386E-06   0.245506E-09
   238   0.759857E-09   0.206649E-12   0.585199E-11   0.293039E-06   0.243495E-09
   239   0.758355E-09   0.214193E-12   0.608091E-11   0.291701E-06   0.241501E-09
   240   0.756773E-09   0.222017E-12   0.630959E-11   0.290373E-06   0.239522E-09
   241   0.755110E-09   0.230123E-12   0.653796E-11   0.289054E-06   0.237559E-09
   242   0.753370E-09   0.238513E-12   0.676591E-11   0.287745E-06   0.235613E-09
   243   0.751551E-09   0.247190E-12   0.699334E-11   0.286445E-06   0.233683E-09
   244   0.749655E-09   0.256156E-12   0.722016E-11   0.285154E-06   0.231769E-09
   245   0.747682E-09   0.265414E-12   0.744627E-11   0.283872E-06   0.229873E-09
   246   0.745635E-09   0.274964E-12   0.767159E-11   0.282599E-06   0.227993E-09
   247   0.743513E-09   0.284810E-12   0.789600E-11   0.281336E-06   0.226131E-09
   248   0.741317E-09   0.294954E-12   0.811940E-11   0.280082E-06   0.224286E-09
   249   0.739049E-09   0.305396E-12   0.834171E-11   0.278837E-06   0.222459E-09
   250   0.736709E-09   0.316140E-12   0.856283E-11   0.277601E-06   0.220650E-09
   251   0.734297E-09   0.327184E-12   0.878263E-11   0.276374E-06   0.218860E-09
   252   0.731813E-09   0.338531E-12   0.900102E-11   0.275156E-06   0.217086E-09
   253   0.729258E-09   0.350180E-12   0.921789E-11   0.273947E-06   0.215329E-09
   254   0.726634E-09   0.362135E-12   0.943312E-11   0.272746E-06   0.213587E-09
   255   0.723938E-09   0.374394E-12   0.964662E-11   0.271554E-06   0.211860E-09
   256   0.721173E-09   0.386958E-12   0.985828E-11   0.270370E-06   0.210147E-09
   257   0.718339E-09   0.399828E-12   0.100680E-10   0.269195E-06   0.208446E-09
   258   0.715439E-09   0.413003E-12   0.102757E-10   0.268027E-06   0.206758E-09
   259   0.712473E-09   0.426484E-12   0.104814E-10   0.266868E-06   0.205081E-09
   260   0.709444E-09   0.440271E-12   0.106847E-10   0.265716E-06   0.203414E-09
   261   0.706352E-09   0.454363E-12   0.108859E-10   0.264572E-06   0.201756E-09
   262   0.703200E-09   0.468761E-12   0.110846E-10   0.263436E-06   0.200107E-09
   263   0.699990E-09   0.483465E-12   0.112809E-10   0.262307E-06   0.198465E-09
   264   0.696721E-09   0.498472E-12   0.114747E-10   0.261185E-06   0.196830E-09
   265   0.693395E-09   0.513782E-12   0.116659E-10   0.260070E-06   0.195201E-09
   266   0.690011E-09   0.529393E-12   0.118543E-10   0.258963E-06   0.193576E-09
   267   0.686573E-09   0.545304E-12   0.120398E-10   0.257862E-06   0.191956E-09
   268   0.683079E-09   0.561512E-12   0.122224E-10   0.256768E-06   0.190339E-09
   269   0.679530E-09   0.578018E-12   0.124020E-10   0.255680E-06   0.188726E-09
   270   0.675926E-09   0.594818E-12   0.125785E-10   0.254600E-06   0.187118E-09
   271   0.672272E-09   0.611911E-12   0.127518E-10   0.253526E-06   0.185515E-09
   272   0.668566E-09   0.629296E-12   0.129218E-10   0.252458E-06   0.183919E-09
   273   0.664811E-09   0.646967E-12   0.130884E-10   0.251398E-06   0.182330E-09
   274   0.661008E-09   0.664924E-12   0.132517E-10   0.250344E-06   0.180748E-09
   275   0.657157E-09   0.683163E-12   0.134114E-10   0.249296E-06   0.179176E-09
   276   0.653263E-09   0.701683E-12   0.135676E-10   0.248256E-06   0.177612E-09
   277   0.649325E-09   0.720480E-12   0.137201E-10   0.247222E-06   0.176059E-09
   278   0.645343E-09   0.739551E-12   0.138688E-10   0.246194E-06   0.174517E-09
   279   0.641321E-09   0.758892E-12   0.140138E-10   0.245173E-06   0.172987E-09
   280   0.637260E-09   0.778499E-12   0.141550E-10   0.244159E-06   0.171469E-09
   281   0.633160E-09   0.798369E-12   0.142922E-10   0.243152E-06   0.169965E-09
   282   0.629024E-09   0.818496E-12   0.144254E-10   0.242151E-06   0.168475E-09
   283   0.624853E-09   0.838878E-12   0.145545E-10   0.241157E-06   0.167000E-09
   284   0.620646E-09   0.859511E-12   0.146795E-10   0.240169E-06   0.165540E-09
   285   0.616408E-09   0.880389E-12   0.148002E-10   0.239188E-06   0.164097E-09
   286   0.612137E-09   0.901509E-12   0.149168E-10   0.238214E-06   0.162669E-09
   287   0.607838E-09   0.922863E-12   0.150290E-10   0.237246E-06   0.161257E-09
   288   0.603510E-09   0.944449E-12   0.151368E-10   0.236284E-06   0.159859E-09
   289   0.599154E-09   0.966260E-12   0.152403E-10   0.235328E-06   0.158474E-09
   290   0.594773E-09   0.988292E-12   0.153391E-10   0.234379E-06   0.157102E-09
   291   0.590368E-09   0.101054E-11   0.154335E-10   0.233435E-06   0.155742E-09
   292   0.585939E-09   0.103299E-11   0.155233E-10   0.232497E-06   0.154393E-09
   293   0.581487E-09   0.105565E-11   0.156085E-10   0.231565E-06   0.153054E-09
   294   0.577016E-09   0.107850E-11   0.156888E-10   0.230639E-06   0.151726E-09
   295   0.572525E-09   0.110154E-11   0.157645E-10   0.229718E-06   0.150406E-09
   296   0.568015E-09   0.112477E-11   0.158353E-10   0.228802E-06   0.149094E-09
   297   0.563487E-09   0.114816E-11   0.159011E-10   0.227892E-06   0.147789E-09
   298   0.558944E-09   0.117172E-11   0.159621E-10   0.226987E-06   0.146491E-09
   299   0.554386E-09   0.119545E-11   0.160181E-10   0.226087E-06   0.145199E-09
   300   0.549815E-09   0.121932E-11   0.160690E-10   0.225191E-06   0.143912E-09
   301   0.545232E-09   0.124335E-11   0.161150E-10   0.224301E-06   0.142629E-09
   302   0.540640E-09   0.126751E-11   0.161560E-10   0.223415E-06   0.141350E-09
   303   0.536039E-09   0.129181E-11   0.161919E-10   0.222535E-06   0.140075E-09
   304   0.531432E-09   0.131624E-11   0.162228E-10   0.221658E-06   0.138805E-09
   305   0.526821E-09   0.134078E-11   0.162486E-10   0.220787E-06   0.137539E-09
   306   0.522206E-09   0.136545E-11   0.162693E-10   0.219920E-06   0.136280E-09
   307   0.517589E-09   0.139021E-11   0.162848E-10   0.219059E-06   0.135026E-09
   308   0.512972E-09   0.141508E-11   0.162953E-10   0.218202E-06   0.133780E-09
   309   0.508356E-09   0.144003E-11   0.163006E-10   0.217350E-06   0.132540E-09
   310   0.503741E-09   0.146505E-11   0.163009E-10   0.216502E-06   0.131308E-09
   311   0.499131E-09   0.149015E-11   0.162958E-10   0.215660E-06   0.130085E-09
   312   0.494525E-09   0.151531E-11   0.162857E-10   0.214823E-06   0.128870E-09
   313   0.489927E-09   0.154053E-11   0.162703E-10   0.213990E-06   0.127665E-09
   314   0.485337E-09   0.156579E-11   0.162498E-10   0.213163E-06   0.126469E-09
   315   0.480755E-09   0.159108E-11   0.162240E-10   0.212340E-06   0.125284E-09
   316   0.476185E-09   0.161640E-11   0.161931E-10   0.211523E-06   0.124110E-09
   317   0.471627E-09   0.164174E-11   0.161570E-10   0.210710E-06   0.122948E-09
   318   0.467083E-09   0.166708E-11   0.161158E-10   0.209903E-06   0.121797E-09
   319   0.462555E-09   0.169243E-11   0.160694E-10   0.209100E-06   0.120659E-09
   320   0.458042E-09   0.171777E-11   0.160179E-10   0.208303E-06   0.119532E-09
   321   0.453548E-09   0.174309E-11   0.159613E-10   0.207511E-06   0.118418E-09
